symptoms,disease
"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze",Impetigo
I have these red and bumpy spots on my skin that are itchy. They're also a different color than the rest of my skin. I've had some bumps that are kind of like little lumps.,Fungal Infection
"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances",Migraine
"headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration",Hypertension 
"           Nerve cell (neuron)            Nerve cell (neuron)   Nerve cell (neuron) The basic unit of communication in the nervous system is the nerve cell (neuron). Each nerve cell consists of the cell body, which includes the nucleus, a major branching fiber (axon) and numerous smaller branching fibers (dendrites). The myelin sheath is fatty material that covers, insulates and protects nerves of the brain and spinal cord.               Nerve cell (neuron)                Nerve cell (neuron)         Nerve cell (neuron)   Nerve cell (neuron) The basic unit of communication in the nervous system is the nerve cell (neuron). Each nerve cell consists of the cell body, which includes the nucleus, a major branching fiber (axon) and numerous smaller branching fibers (dendrites). The myelin sheath is fatty material that covers, insulates and protects nerves of the brain and spinal cord.       Nerve cell (neuron)   Nerve cell (neuron) The basic unit of communication in the nervous system is the nerve cell (neuron). Each nerve cell consists of the cell body, which includes the nucleus, a major branching fiber (axon) and numerous smaller branching fibers (dendrites). The myelin sheath is fatty material that covers, insulates and protects nerves of the brain and spinal cord.     Nerve cell (neuron)   Nerve cell (neuron) The basic unit of communication in the nervous system is the nerve cell (neuron). Each nerve cell consists of the cell body, which includes the nucleus, a major branching fiber (axon) and numerous smaller branching fibers (dendrites). The myelin sheath is fatty material that covers, insulates and protects nerves of the brain and spinal cord.  Close  Close Nerve cell (neuron)   Nerve cell (neuron) The basic unit of communication in the nervous system is the nerve cell (neuron). Each nerve cell consists of the cell body, which includes the nucleus, a major branching fiber (axon) and numerous smaller branching fibers (dendrites). The myelin sheath is fatty material that covers, insulates and protects nerves of the brain and spinal cord.  Nerve cell (neuron) The basic unit of communication in the nervous system is the nerve cell (neuron). Each nerve cell consists of the cell body, which includes the nucleus, a major branching fiber (axon) and numerous smaller branching fibers (dendrites). The myelin sheath is fatty material that covers, insulates and protects nerves of the brain and spinal cord. The basic unit of communication in the nervous system is the nerve cell (neuron). Each nerve cell consists of the cell body, which includes the nucleus, a major branching fiber (axon) and numerous smaller branching fibers (dendrites). The myelin sheath is fatty material that covers, insulates and protects nerves of the brain and spinal cord. Most people infected with the virus that causes polio, called poliovirus, don't get symptoms. Abortive polio About 5% of people with the poliovirus get a mild version of the disease called abortive poliomyelitis. This leads to flu-like symptoms that last 2 to 3 days. These include:  Fever Headache Muscle aches Sore throat Stomachache Loss of appetite Nausea Vomiting  Nonparalytic polio A more severe form of the disease, called nonparalytic polio, affects about 1% of those infected. While the illness lasts longer than a few days, it doesn't cause paralysis. Besides having more-severe flu-like symptoms, nonparalytic polio symptoms may include:  Neck pain or stiffness Aches or stiffness in the arms or legs Severe headache  A second phase of symptoms may follow, or a person may seem to be getting better for a few days before a second phase starts. These symptoms include:  Stiffness of the spine and neck Decreased reflexes Muscle weakness  Paralytic polio This most serious form of the disease is rare. The disease begins much like nonparalytic polio. But it progresses to more-severe signs and symptoms, including:  Intense pain Extreme sensitivity to touch Tingling or pricking sensations Muscles spasms or twitching Muscles weakness progressing to a limp paralysis  Any combination of limbs may experience paralysis. But paralysis of one leg is most common, followed by paralysis of one arm. Depending on the severity of disease, other signs or symptoms may include:  Paralysis of muscles involved in breathing Difficulty swallowing  Post-polio syndrome Post-polio syndrome is the appearance of new signs or symptoms or the progression of problems. This usually happens decades after having polio. Common signs and symptoms include:  Progressive muscle or joint weakness and pain Fatigue Muscle wasting Breathing or swallowing problems Sleep-related breathing disorders, such as sleep apnea Lowered tolerance of cold temperatures ",Polio
"Coarctation of the aorta symptoms depend on how much of the aorta is narrowed. Most people don't have symptoms. Mild coarctation may not be diagnosed until adulthood. Babies with severe coarctation of the aorta may show symptoms shortly after birth. Symptoms of coarctation of the aorta in infants include:  Difficulty breathing Difficulty feeding Heavy sweating Irritability Pale skin  Symptoms of coarctation of the aorta after infancy commonly include:  Chest pain Headaches High blood pressure Leg cramps or cold feet Muscle weakness Nosebleeds  Depending on where the coarctation is located, blood pressure may be high in the arms and low in the legs and ankles. Coarctation of the aorta often occurs with other heart defects. Other symptoms depend on the type of congenital heart defect.",Coarctation Of The Aorta
"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",Hepatitis D
"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze",Impetigo
"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain",Jaundice
"I was driving home from work and suddenly felt a headache, chest discomfort, and dizziness. I've been having trouble concentrating and focusing while driving since then.",Hypertension
"headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration",Hypertension 
"chills,fatigue,cough,high_fever,breathlessness,sweating,phlegm,chest_pain,fast_heart_rate,rusty_sputum",Pneumonia
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations",Hypoglycemia
"fatigue,cough,breathlessness,family_history,mucoid_sputum",Bronchial Asthma
"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding",Hepatitis E
"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",Hepatitis D
"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding",Hepatitis E
"itching,skin_rash,dischromic__patches",Fungal Infection
"I have a lot of itchy spots on my skin. They're sometimes red or bumpy, and sometimes they're different colors than the rest of my skin. I also get these weird bumps that look like little balls.",Fungal Infection
"Once you become infected with whooping cough, it takes about seven to 10 days for signs and symptoms to appear, though it can sometimes take longer. They're usually mild at first and resemble those of a common cold:  Runny nose Nasal congestion Red, watery eyes Fever Cough  After a week or two, signs and symptoms worsen. Thick mucus accumulates inside your airways, causing uncontrollable coughing. Severe and prolonged coughing attacks may:  Provoke vomiting Result in a red or blue face Cause extreme fatigue End with a high-pitched ""whoop"" sound during the next breath of air  However, many people don't develop the characteristic whoop. Sometimes, a persistent hacking cough is the only sign that an adolescent or adult has whooping cough. Infants may not cough at all. Instead, they may struggle to breathe, or they may even temporarily stop breathing.",Whooping Cough
"chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain",Malaria
"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes",Chronic Cholestasis
"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain",Malaria
I have red spots on my body that are itchy and inflamed. I also have a high fever and chills.,Dengue
"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking",Arthritis
"back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance",Cervical Spondylosis
"Serious congenital heart defects usually are noticed soon after birth or during the first few months of life. Signs and symptoms could include:  Pale gray or blue lips, tongue or fingernails (cyanosis) Rapid breathing Swelling in the legs, belly or areas around the eyes Shortness of breath during feedings, leading to poor weight gain  Less-serious congenital heart defects may not be diagnosed until later in childhood. Signs and symptoms of congenital heart defects in older children may include:  Easily becoming short of breath during exercise or activity Easily tiring during exercise or activity Fainting during exercise or activity Swelling in the hands, ankles or feet ",Congenital Heart Defects Children
I've been feeling really run down and weak. My throat is really sore and I've been coughing a lot. I've also been feeling really cold and have a fever.,Common Cold
"I've been having back pain, a hacking cough, and numbness in my arms and legs. My neck hurts too, and I've been having trouble staying balanced and without getting lightheaded.",Cervical Spondylosis
I have been experiencing back pain for a few days now. It is worse when I sit or stand for a long time. I also have rashes all over my body and a pain behind my eyes.,Dengue
"fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf",Varicose Veins
"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria",Diabetes 
"back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance",Cervical Spondylosis
"skin_rash,high_fever,blister,red_sore_around_nose",Impetigo
I have been having trouble with my muscles and joints. My neck is really tight and my muscles feel weak. I have swollen joints and it is hard to move around without becoming stiff. It is also really uncomfortable to walk.,Arthritis
"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,increased_appetite,polyuria",Diabetes 
"vomiting,headache,weakness_of_one_body_side,altered_sensorium",Paralysis (Brain Hemorrhage)
"continuous_sneezing,shivering,chills,watering_from_eyes",Allergy
"The signs and symptoms of Takayasu's arteritis often occur in two stages. Stage 1 In the first stage, you're likely to feel unwell with:  Fatigue Unintended weight loss Muscle and joint aches and pains Mild fever, sometimes accompanied by night sweats  Not everyone has these early signs and symptoms. It's possible for inflammation to damage arteries for years before you realize something is wrong. Stage 2 During the second stage, inflammation causes arteries to narrow so less blood and oxygen and fewer nutrients reach your organs and tissues. Stage 2 signs and symptoms may include:  Weakness or pain in your limbs with use A weak pulse, difficulty getting a blood pressure or a difference in blood pressure between your arms Lightheadedness, dizziness or fainting Headaches or visual changes Memory problems or trouble thinking Chest pain or shortness of breath High blood pressure Diarrhea or blood in your stool Too few red blood cells (anemia) ",Takayasus Arteritis
"itching,skin_rash,nodal_skin_eruptions,dischromic__patches",Fungal Infection
"Not seeing or feeling a testicle where you would expect it to be in the scrotum is the main sign of an undescended testicle. Testicles form in the abdomen during fetal development. During the last couple of months of normal fetal development, the testicles gradually descend from the abdomen through a tube-like passageway in the groin (inguinal canal) into the scrotum. With an undescended testicle, that process stops or is delayed.",Undescended Testicle
"vomiting,headache,spinning_movements,loss_of_balance,unsteadiness",(Vertigo) Paroymsal  Positional Vertigo
"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances",Migraine
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,muscle_weakness,irritability,abnormal_menstruation",Hyperthyroidism
"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts",Aids
"Signs and symptoms of Hirschsprung's disease vary with the severity of the condition. Usually signs and symptoms appear shortly after birth, but sometimes they're not apparent until later in life. Typically, the most obvious sign is a newborn's failure to have a bowel movement within 48 hours after birth. Other signs and symptoms in newborns may include:  Swollen belly Vomiting, including vomiting a green or brown substance Constipation or gas, which might make a newborn fussy Diarrhea Delayed passage of meconium — a newborn's first bowel movement  In older children, signs and symptoms can include:  Swollen belly Chronic constipation Gas Failure to thrive Fatigue ",Hirschsprungs Disease
I'm always exhausted and I feel like I have a tickle in my throat. My skin is dry and my eyes sometimes swell up.,Allergy
"vomiting,dehydration,diarrhoea",Gastroenteritis
I've been having a lot of pain in my lower abdomen. It feels like it may explode when I urinate. I've also been feeling weak and my body temperature has been low.,Urinary Tract Infection
"headache,weakness_of_one_body_side,altered_sensorium",Paralysis (Brain Hemorrhage)
"           Osteoarthritis of the hip            Osteoarthritis of the hip   Osteoarthritis of the hip The hip joint shown on the left side of the image is normal, but the hip joint shown on the right side of the image shows deterioration of cartilage and the formation of bone spurs due to osteoarthritis.               Osteoarthritis of the hip                Osteoarthritis of the hip         Osteoarthritis of the hip   Osteoarthritis of the hip The hip joint shown on the left side of the image is normal, but the hip joint shown on the right side of the image shows deterioration of cartilage and the formation of bone spurs due to osteoarthritis.       Osteoarthritis of the hip   Osteoarthritis of the hip The hip joint shown on the left side of the image is normal, but the hip joint shown on the right side of the image shows deterioration of cartilage and the formation of bone spurs due to osteoarthritis.     Osteoarthritis of the hip   Osteoarthritis of the hip The hip joint shown on the left side of the image is normal, but the hip joint shown on the right side of the image shows deterioration of cartilage and the formation of bone spurs due to osteoarthritis.  Close  Close Osteoarthritis of the hip   Osteoarthritis of the hip The hip joint shown on the left side of the image is normal, but the hip joint shown on the right side of the image shows deterioration of cartilage and the formation of bone spurs due to osteoarthritis.  Osteoarthritis of the hip The hip joint shown on the left side of the image is normal, but the hip joint shown on the right side of the image shows deterioration of cartilage and the formation of bone spurs due to osteoarthritis. The hip joint shown on the left side of the image is normal, but the hip joint shown on the right side of the image shows deterioration of cartilage and the formation of bone spurs due to osteoarthritis.            Bone spurs on spine            Bone spurs on spine   Bone spurs on spine In osteoarthritis of the spine, disks narrow and bone spurs form.               Bone spurs on spine                Bone spurs on spine         Bone spurs on spine   Bone spurs on spine In osteoarthritis of the spine, disks narrow and bone spurs form.       Bone spurs on spine   Bone spurs on spine In osteoarthritis of the spine, disks narrow and bone spurs form.     Bone spurs on spine   Bone spurs on spine In osteoarthritis of the spine, disks narrow and bone spurs form.  Close  Close Bone spurs on spine   Bone spurs on spine In osteoarthritis of the spine, disks narrow and bone spurs form.  Bone spurs on spine In osteoarthritis of the spine, disks narrow and bone spurs form. In osteoarthritis of the spine, disks narrow and bone spurs form. Most bone spurs cause no signs or symptoms. You might not realize you have bone spurs until an X-ray for another condition reveals the growths. In some cases, though, bone spurs can cause pain and loss of motion in your joints. Specific symptoms depend on where the bone spurs are. Examples include:  Knee. Bone spurs in your knee can make it painful to extend and bend your leg. Spine. On your vertebrae, bone spurs can narrow the space that contains your spinal cord. These bone spurs can pinch the spinal cord or its nerve roots and can cause weakness or numbness in your arms or legs. Hip. Bone spurs can make it painful to move your hip, although you might feel the pain in your knee. Depending on their placement, bone spurs can reduce the range of motion in your hip joint. ",Bone Spurs
"itching,vomiting,fatigue,weight_loss,yellowish_skin,dark_urine,abdominal_pain",Jaundice
"continuous_sneezing,shivering,chills,watering_from_eyes",Allergy
"Signs and symptoms of GI bleeding can be either obvious (overt) or hidden (occult). Signs and symptoms depend on the location of the bleed, which can be anywhere on the GI tract, from where it starts — the mouth — to where it ends — the anus — and the rate of bleeding. GI GI Overt bleeding might show up as:  Vomiting blood, which might be red or might be dark brown and resemble coffee grounds in texture Black, tarry stool Rectal bleeding, usually in or with stool  With occult bleeding, you might have:  Lightheadedness Difficulty breathing Fainting Chest pain Abdominal pain  Symptoms of shock If your bleeding starts abruptly and progresses rapidly, you could go into shock. Signs and symptoms of shock include:  Drop in blood pressure Not urinating or urinating infrequently, in small amounts Rapid pulse Unconsciousness ",Gastrointestinal Bleeding
"itching,skin_rash,stomach_pain,spotting__urination",Drug Reaction
"skin_rash,high_fever,blister,red_sore_around_nose",Impetigo
"Although depression may occur only once during your life, people typically have multiple episodes. During these episodes, symptoms occur most of the day, nearly every day and may include:  Feelings of sadness, tearfulness, emptiness or hopelessness Angry outbursts, irritability or frustration, even over small matters Loss of interest or pleasure in most or all normal activities, such as sex, hobbies or sports Sleep disturbances, including insomnia or sleeping too much Tiredness and lack of energy, so even small tasks take extra effort Reduced appetite and weight loss or increased cravings for food and weight gain Anxiety, agitation or restlessness Slowed thinking, speaking or body movements Feelings of worthlessness or guilt, fixating on past failures or self-blame Trouble thinking, concentrating, making decisions and remembering things Frequent or recurrent thoughts of death, suicidal thoughts, suicide attempts or suicide Unexplained physical problems, such as back pain or headaches  For many people with depression, symptoms usually are severe enough to cause noticeable problems in day-to-day activities, such as work, school, social activities or relationships with others. Some people may feel generally miserable or unhappy without really knowing why. Depression symptoms in children and teens Common signs and symptoms of depression in children and teenagers are similar to those of adults, but there can be some differences.  In younger children, symptoms of depression may include sadness, irritability, clinginess, worry, aches and pains, refusing to go to school, or being underweight. In teens, symptoms may include sadness, irritability, feeling negative and worthless, anger, poor performance or poor attendance at school, feeling misunderstood and extremely sensitive, using recreational drugs or alcohol, eating or sleeping too much, self-harm, loss of interest in normal activities, and avoidance of social interaction.  Depression symptoms in older adults Depression is not a normal part of growing older, and it should never be taken lightly. Unfortunately, depression often goes undiagnosed and untreated in older adults, and they may feel reluctant to seek help. Symptoms of depression may be different or less obvious in older adults, such as:  Memory difficulties or personality changes Physical aches or pain Fatigue, loss of appetite, sleep problems or loss of interest in sex — not caused by a medical condition or medication Often wanting to stay at home, rather than going out to socialize or doing new things Suicidal thinking or feelings, especially in older men ",Depression
"joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking",Osteoarthristis
"continuous_sneezing,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain",Common Cold
"I've been having headaches, chest pain, and lightheadedness. It's been hard to concentrate at work.",Hypertension
"itching,skin_rash,stomach_pain,burning_micturition,spotting__urination",Drug Reaction
"I've been feeling really tired lately. I've also been losing weight, and I'm always thirsty.",Diabetes
"joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking",Osteoarthristis
"vomiting,headache,weakness_of_one_body_side,altered_sensorium",Paralysis (Brain Hemorrhage)
"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances",Migraine
"I have been having back pain, a lingering cough, and muscle weakness. I also have dizziness and balance issues, and my neck hurts.",Cervical Spondylosis
"vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching",Peptic Ulcer Diseae
"I have a runny nose and a sore throat. I've been coughing a lot, and my chest feels tight. I feel tired and achy, and I have no sense of smell.",Common Cold
"skin_rash,high_fever,blister,red_sore_around_nose",Impetigo
"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections",Hepatitis B
"I've been having a terrible cough, I can't breathe well, and I'm so tired. I've been coughing up a lot of thick, mucusy stuff, and I have a fever. I feel really bad.",Bronchial Asthma
"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections",Hepatitis B
"I'm shaking and trembling all over. I've lost my sense of taste and smell, and I'm exhausted. I occasionally get palpitations or a racing heart.",Diabetes
"back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance",Cervical Spondylosis
I have a fever and feel weak. I have sores on my face that are itchy and uncomfortable. The sores sometimes ooze a yellow fluid.,Impetigo
I'm having trouble sleeping because of stomach pain. I'm also tired after using the bathroom and I don't have much of an appetite. I'm feeling pretty anxious all the time.,Peptic Ulcer Disease
"fatigue,yellowish_skin,nausea,loss_of_appetite,family_history",Hepatitis C
"I've been having a lot of headaches lately, and they're getting worse. I also have a sore neck, and I'm feeling anxious and irritated. I've also been having trouble seeing things clearly.",Migraine
"patches_in_throat,high_fever,extra_marital_contacts",Aids
"fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history",Hepatitis C
"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain",Malaria
"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum",Bronchial Asthma
"I have cramps in my calves when I walk, and I think it's because I'm overweight. I get tired after a while of working.",Varicose Veins
"itching,fatigue,lethargy,yellowish_skin,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections",Hepatitis B
"I have a rash on my skin that is itchy and uncomfortable. I have also noticed small dents in my nails, which is concerning.",Psoriasis
"burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine",Urinary Tract Infection
"I have a rash on my skin that is red, itchy, and scaly. It is worse in the winter months when the air is dry. I have to moisturize more frequently and use humidifiers to keep my skin hydrated.",Psoriasis
"Signs and symptoms of geographic tongue may include:  Smooth, red, irregularly shaped patches (lesions) on the top or side of your tongue Frequent changes in the location, size and shape of lesions Discomfort, pain or burning sensation in some cases, most often related to eating spicy or acidic foods  Many people with geographic tongue have no symptoms. Geographic tongue can continue for days, months or years. The problem often resolves on its own but may appear again at a later time. When to see a doctor Geographic tongue is a minor — although sometimes uncomfortable — condition. However, lesions on the tongue may indicate other more-serious conditions of the tongue or diseases affecting the body in general. If you have lesions on the tongue that don't resolve within 10 days, see your doctor or dentist.",Geographic Tongue
"chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum",Tuberculosis
"Schizophrenia involves a range of problems with thinking, behavior or emotions. Signs and symptoms may vary, but usually involve delusions, hallucinations or disorganized speech, and reflect an impaired ability to function. The effect can be disabling. In most people with schizophrenia, symptoms generally start in the mid- to late 20s, though it can start later, up to the mid-30s. Schizophrenia is considered early onset when it starts before the age of 18. Onset of schizophrenia in children younger than age 13 is extremely rare. Symptoms can vary in type and severity over time, with periods of worsening and remission of symptoms. Some symptoms may always be present. Schizophrenia can be difficult to recognize in the early phases. Early signs and symptoms Schizophrenia signs and symptoms in children and teenagers are similar to those in adults, but the condition may be more difficult to recognize in this age group. Early signs and symptoms may include problems with thinking, behavior and emotions. Thinking:  Problems with thinking and reasoning Bizarre ideas or speech Confusing dreams or television for reality  Behavior:  Withdrawal from friends and family Trouble sleeping Lack of motivation — for example, showing up as a drop in performance at school Not meeting daily expectations, such as bathing or dressing Bizarre behavior Violent or aggressive behavior or agitation Recreational drug or nicotine use  Emotions:  Irritability or depressed mood Lack of emotion, or emotions inappropriate for the situation Strange anxieties and fears Excessive suspicion of others  Later signs and symptoms As children with schizophrenia age, more typical signs and symptoms of the disorder begin to appear. Signs and symptoms may include:  Delusions. These are false beliefs that are not based in reality. For example, you think that you're being harmed or harassed; that certain gestures or comments are directed at you; that you have exceptional ability or fame; that another person is in love with you; or that a major catastrophe is about to occur. Delusions occur in most people with schizophrenia. Hallucinations. These usually involve seeing or hearing things that don't exist. Yet for the person with schizophrenia, hallucinations have the full force and impact of a normal experience. Hallucinations can be in any of the senses, but hearing voices is the most common hallucination. Disorganized thinking. Disorganized thinking is inferred from disorganized speech. Effective communication can be impaired, and answers to questions may be partially or completely unrelated. Rarely, speech may include putting together meaningless words that can't be understood, sometimes known as word salad. Extremely disorganized or abnormal motor behavior. This may show in several ways, from childlike silliness to unpredictable agitation. Behavior is not focused on a goal, which makes it hard to do tasks. Behavior can include resistance to instructions, inappropriate or bizarre posture, a complete lack of response, or useless and excessive movement. Negative symptoms. This refers to reduced or lack of ability to function normally. For example, the person may neglect personal hygiene or appear to lack emotion — doesn't make eye contact, doesn't change facial expressions, speaks in a monotone, or doesn't add hand or head movements that normally occur when speaking. Also, the person may avoid people and activities or lack the ability to experience pleasure.  Compared with schizophrenia symptoms in adults, children and teens may be:  Less likely to have delusions More likely to have visual hallucinations  Symptoms may be difficult to interpret When childhood schizophrenia begins early in life, symptoms may build up gradually. Early signs and symptoms may be so vague that you can't recognize what's wrong. Some early signs can be mistaken for typical development during early teen years, or they could be symptoms of other mental or physical conditions.  As time goes on, signs may become more severe and more noticeable. Eventually, your child may develop the symptoms of psychosis, including hallucinations, delusions and difficulty organizing thoughts. As thoughts become more disorganized, there's often a ""break from reality"" (psychosis) frequently requiring hospitalization and treatment with medication.",Childhood Schizophrenia
"headache,weakness_of_one_body_side,altered_sensorium",Paralysis (Brain Hemorrhage)
"I have a silvery film on my skin, particularly on my back, arms and scalp. It's made up of tiny scales that easily peel off when I scratch it.",Psoriasis
"fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf",Varicose Veins
"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain",Typhoid
"constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus",Dimorphic Hemmorhoids(Piles)
"neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking",Osteoarthristis
"Symptoms are likely to start slowly, often showing up 1 to 3 weeks after exposure to the bacteria. Early illness Early symptoms include:  Fever that starts low and increases throughout the day, possibly reaching as high as 104 degrees Fahrenheit (40 degrees Celsius). Chills. Headache. Weakness and fatigue. Muscle aches. Stomach pain. Diarrhea or constipation. Rash.  People also may have a cough, loss of appetite and sweating. Later illness A few weeks after symptoms start, the illness can cause problems in the intestines. People may have:  Stomach pain. Very swollen stomach. An infection caused by gut bacteria spreading throughout the body, called sepsis.  In very serious cases, people may:  Become confused. Not be able to pay attention to anything around them. Not be able to react to the world around them.  These are life-threatening complications. In some people, symptoms may return up to a few weeks after the fever has gone away.",Typhoid Fever
"joint_pain,vomiting,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain",Hepatitis A
"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body",Dengue
"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain",Hepatitis A
"vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness",(Vertigo) Paroymsal  Positional Vertigo
"constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus",Dimorphic Hemmorhoids(Piles)
"I've been having a lot of itching, nausea, and fatigue. I've also been running a fever and losing weight. My pee is black, and I've developed a yellow rash. My stomach hurts, too.",Jaundice
"itching,skin_rash,stomach_pain,burning_micturition,spotting__urination",Drug Reaction
"I've been having joint pain in my fingers, wrists, and knees for a few weeks now. The pain is usually aching and throbbing, and it gets worse when I move my joints. I've also noticed some red, scaly patches on my skin.",Psoriasis
"itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body",Chicken Pox
"fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf",Varicose Veins
I've been having a scratchy throat and I'm feeling exhausted. My skin is also feeling dry and I sometimes get eye inflammation.,Allergy
I have a rash on my face and nose. I don't know what it is. The sores on my cheek are big and they hurt to touch. I also have a burning feeling and redness on my skin.,Impetigo
"Symptoms of a blocked tear duct include:  Excessive tearing Redness of the white part of the eye Recurrent eye infection or inflammation, known as pink eye Painful swelling near the inside corner of the eye Crusting of the eyelids Mucus or pus discharge from the lids and surface of the eye Blurred vision ",Blocked Tear Duct
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",Hyperthyroidism
I have small lymph nodes on my arms and face that are starting to swell. I've been really miserable all day because of the constant itching and pain.,Chicken Pox
"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,abdominal_pain",Jaundice
"fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history",Hepatitis C
"vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness",(Vertigo) Paroymsal  Positional Vertigo
"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain",Jaundice
"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain",Jaundice
"Diabetic ketoacidosis symptoms often come on quickly, sometimes within 24 hours. For some, these symptoms may be the first sign of having diabetes. Symptoms might include:  Being very thirsty Urinating often Feeling a need to throw up and throwing up Having stomach pain Being weak or tired Being short of breath Having fruity-scented breath Being confused  More-certain signs of diabetic ketoacidosis — which can show up in home blood and urine test kits — include:  High blood sugar level High ketone levels in urine ",Diabetic Ketoacidosis
